,hq_id,inv_id,inv_name
641,562077,434894,supplier2
642,562082,562082,supplier1
643,562082,435053,supplier2
644,562122,562122,supplier1
645,562122,434895,supplier2
646,197690,197690,supplier1
647,197690,12938,supplier3
648,179411,179411,supplier1
649,179411,85292,supplier2
650,179411,570085,supplier4
651,344747,344747,supplier1
652,344747,135830,supplier2
653,344747,573205,supplier4
654,562117,562117,supplier1
655,562117,435384,supplier2
656,174290,174290,supplier1
657,174290,16211,supplier2
658,358574,358574,supplier1
659,358574,216692,supplier3
660,246925,246925,supplier1
661,246925,238196,supplier4
662,246925,119157,supplier2
663,547175,547175,supplier1
664,547175,215578,supplier3
665,562105,562105,supplier1
666,562105,434935,supplier2
667,562116,562116,supplier1
668,562116,435055,supplier2
669,562087,562087,supplier1
670,562087,435069,supplier2
671,443610,443610,supplier1
672,443610,1926375,supplier4
673,443610,215605,supplier3
674,443594,443594,supplier1
675,443594,215580,supplier3
676,443594,1925805,supplier4
677,448924,448924,supplier1
678,448924,464796,supplier2
679,235634,235634,supplier1
680,235634,4117,supplier2
681,235634,3961,supplier3
682,310281,310281,supplier1
683,310281,282629,supplier3
684,310281,630085,supplier4
685,383664,383664,supplier1
686,383664,254032,supplier2
687,463222,463222,supplier1
688,463222,2008685,supplier4
689,463222,385321,supplier2
690,446595,446595,supplier1
691,446595,140239,supplier2
692,562751,562751,supplier1
693,562751,430780,supplier2
694,439755,439755,supplier1
695,439755,1456928,supplier4
696,463415,463415,supplier1
697,463415,464870,supplier2
698,287639,287639,supplier1
699,287639,337774,supplier2
700,128318,128318,supplier1
701,128318,848915,supplier4
702,128318,38785,supplier3
703,128318,6173,supplier2
704,343371,343371,supplier1
705,343371,125267,supplier4
706,343371,41611,supplier3
707,343371,125616,supplier2
708,454521,454521,supplier1
709,454521,374488,supplier2
710,555343,555343,supplier1
711,555343,1847678,supplier4
712,555343,90981,supplier2
713,555343,505181,supplier2
714,355484,355484,supplier1
715,355484,125617,supplier2
716,429964,429964,supplier1
717,429964,188717,supplier2
718,429964,238276,supplier4
719,429964,109455,supplier2
720,233572,233572,supplier1
721,233572,40517,supplier3
722,584077,584077,supplier1
723,584077,193632,supplier2
724,584077,238356,supplier4
725,266707,266707,supplier1
726,266707,463401,supplier2
727,351657,351657,supplier1
728,351657,204618,supplier2
729,172383,172383,supplier1
730,172383,1221,supplier2
731,172383,29616,supplier3
732,172383,233046,supplier4
733,238968,238968,supplier1
734,238968,22956,supplier2
735,238968,75794,supplier4
736,238968,13631,supplier3
737,239003,239003,supplier1
738,239003,56053,supplier2
739,215236,215236,supplier1
740,215236,69844,supplier4
741,215236,26739,supplier2
742,591722,591722,supplier1
743,591722,246137,supplier3
744,591722,541957,supplier2
745,347501,347501,supplier1
746,347501,134664,supplier2
747,213403,213403,supplier1
748,213403,4245,supplier2
749,222483,222483,supplier1
750,222483,7740,supplier2
751,222483,152720,supplier2
752,222483,29263,supplier3
753,222483,157343,supplier2
754,222483,573935,supplier4
755,222483,193618,supplier3
756,654474,654474,supplier1
757,654474,555767,supplier2
758,238188,238188,supplier1
759,238188,69854,supplier4
760,238188,56102,supplier2
761,238188,251331,supplier3
762,238188,2057005,supplier4
763,238188,517621,supplier2
764,260283,260283,supplier1
765,260283,88047,supplier2
766,260283,119332,supplier4
767,260283,22232,supplier3
768,260283,232426,supplier4
769,182961,182961,supplier1
770,182961,35657,supplier2
771,120202,120202,supplier1
772,120202,128662,supplier2
773,120202,24924,supplier4
774,120202,50533,supplier3
775,193139,193139,supplier1
776,193139,3246,supplier2
777,217112,217112,supplier1
778,217112,150,supplier2
779,217112,21513,supplier3
780,217112,25084,supplier4
781,217112,28052,supplier3
782,189692,189692,supplier1
783,189692,1582,supplier2
784,189692,3440,supplier3
785,189692,24934,supplier4
786,199901,199901,supplier1
787,199901,4313,supplier2
788,199901,36024,supplier4
789,199901,54159,supplier3
790,199901,6858,supplier3
791,215443,215443,supplier1
792,215443,3707,supplier2
793,215443,1049358,supplier4
794,215443,4612,supplier3
795,215443,24864,supplier4
796,215443,19281,supplier3
797,215443,3963,supplier3
798,215443,233036,supplier4
799,228810,228810,supplier1
800,228810,17344,supplier2
801,117277,117277,supplier1
802,117277,4088,supplier2
803,186159,186159,supplier1
804,186159,262515,supplier4
805,186159,23814,supplier4
806,186159,44774,supplier3
807,216960,216960,supplier1
808,216960,4373,supplier2
809,216960,75004,supplier2
810,216960,11137,supplier3
811,249994,249994,supplier1
812,249994,119382,supplier4
813,249994,44359,supplier3
814,249994,111592,supplier4
815,249994,232476,supplier4
816,249994,46716,supplier3
817,211046,211046,supplier1
818,211046,9087,supplier2
819,211046,69864,supplier4
820,211046,35914,supplier4
821,211046,2803,supplier3
822,199874,199874,supplier1
823,199874,4242,supplier2
824,199874,54091,supplier3
825,199874,232506,supplier4
826,563985,563985,supplier1
827,563985,251646,supplier3
828,563985,24984,supplier4
829,563985,47450,supplier3
830,210993,210993,supplier1
831,210993,3951,supplier2
832,124248,124248,supplier1
833,124248,892955,supplier4
834,124248,23844,supplier4
835,124248,42383,supplier3
836,215442,215442,supplier1
837,215442,5110,supplier2
838,474020,474020,supplier1
839,474020,1034408,supplier4
840,474020,3856,supplier3
841,474020,20704,supplier3
842,474020,382865,supplier4
843,240240,240240,supplier1
844,240240,57002,supplier2
845,240240,24954,supplier4
846,240240,17668,supplier3
847,199875,199875,supplier1
848,199875,1577,supplier2
849,199875,232546,supplier4
850,199875,47293,supplier3
851,211038,211038,supplier1
852,211038,4378,supplier2
853,211038,26846,supplier3
854,211038,36014,supplier4
855,217200,217200,supplier1
856,217200,4243,supplier2
857,215445,215445,supplier1
858,215445,4491,supplier2
859,252084,252084,supplier1
860,252084,75499,supplier2
861,252084,468425,supplier4
862,252084,188174,supplier3
863,247879,247879,supplier1
864,247879,75003,supplier2
865,247879,70084,supplier4
866,247879,17531,supplier3
867,247879,232596,supplier4
868,211087,211087,supplier1
869,211087,4308,supplier2
870,211087,25104,supplier4
871,211087,51710,supplier3
872,225883,225883,supplier1
873,225883,5292,supplier2
874,238237,238237,supplier1
875,238237,58314,supplier2
876,238237,69954,supplier4
877,238237,232616,supplier4
878,238237,53776,supplier3
879,211039,211039,supplier1
880,211039,4324,supplier2
881,211039,26295,supplier3
882,211039,232626,supplier4
883,242687,242687,supplier1
884,242687,67479,supplier2
885,242687,4132,supplier3
886,242687,233676,supplier4
887,242687,24994,supplier4
888,242687,40964,supplier3
889,199877,199877,supplier1
890,199877,4310,supplier2
891,486412,486412,supplier1
892,486412,2056135,supplier4
893,486412,25008,supplier3
894,486412,52071,supplier3
895,238562,238562,supplier1
896,238562,69964,supplier4
897,238562,58315,supplier2
898,238562,25004,supplier4
899,238562,18661,supplier3
900,217669,217669,supplier1
901,217669,1917,supplier2
902,250813,250813,supplier1
903,250813,74979,supplier2
904,253890,253890,supplier1
905,253890,80676,supplier2
906,181384,181384,supplier1
907,181384,36340,supplier3
908,181384,87138,supplier2
909,181384,292415,supplier4
910,181384,111372,supplier4
911,181384,51398,supplier3
912,275121,275121,supplier1
913,275121,101473,supplier2
914,217115,217115,supplier1
915,217115,30483,supplier3
916,217115,2801,supplier2
917,275847,275847,supplier1
918,275847,103794,supplier2
919,275847,50623,supplier3
920,275847,42250,supplier3
921,275847,47896,supplier3
922,195866,195866,supplier1
923,195866,3373,supplier2
924,195866,35934,supplier4
925,195866,37877,supplier3
926,215696,215696,supplier1
927,215696,4376,supplier2
928,238022,238022,supplier1
929,238022,69984,supplier4
930,238022,56076,supplier2
931,227082,227082,supplier1
932,227082,4314,supplier2
933,227082,30514,supplier3
934,240953,240953,supplier1
935,240953,69994,supplier4
936,240953,61739,supplier2
937,240953,52972,supplier3
938,240953,118432,supplier4
939,194865,194865,supplier1
940,194865,3599,supplier2
941,194865,3249,supplier3
942,194865,25114,supplier4
943,215446,215446,supplier1
944,215446,4286,supplier2
945,215446,48851,supplier3
946,215446,231246,supplier4
947,199879,199879,supplier1
948,199879,1818,supplier2
949,199879,231256,supplier4
950,199879,26805,supplier3
951,235856,235856,supplier1
952,235856,42120,supplier2
953,235856,1466538,supplier4
954,235856,421889,supplier2
955,224015,224015,supplier1
956,224015,1637318,supplier4
957,224015,133324,supplier2
958,224015,128214,supplier4
959,437536,437536,supplier1
960,437536,408922,supplier2
961,210255,210255,supplier1
962,210255,435145,supplier4
963,407345,407345,supplier1
964,407345,1631,supplier3
965,407345,181873,supplier2
966,407345,922865,supplier4
967,341347,341347,supplier1
968,341347,136929,supplier2
969,341347,847805,supplier4
970,341347,744595,supplier4
971,341347,183069,supplier2
972,341347,25317,supplier3
973,341347,80864,supplier4
974,341347,6244,supplier2
975,341347,27882,supplier3
976,174272,174272,supplier1
977,174272,215966,supplier4
978,174272,78690,supplier2
979,174272,43457,supplier3
980,239096,239096,supplier1
981,239096,187882,supplier2
982,239096,54424,supplier4
983,409005,409005,supplier1
984,409005,2015205,supplier4
985,409005,28670,supplier3
986,409005,513555,supplier4
987,535204,535204,supplier1
988,535204,410807,supplier2
989,535204,2053455,supplier4
990,587667,587667,supplier1
991,587667,3171,supplier2
992,587667,51822,supplier2
993,210159,210159,supplier1
994,210159,451265,supplier4
995,424735,424735,supplier1
996,424735,161499,supplier2
997,424735,1453028,supplier4
998,424735,564775,supplier4
999,424735,142724,supplier2
1000,420258,420258,supplier1
1001,420258,189348,supplier2
